2025-10-02 10:39:03.104 | ERROR    | database.db_manager:_initialize:40 - 数据库连接初始化失败: No module named 'pymysql'
2025-10-02 10:41:26.609 | ERROR    | database.db_manager:_initialize:40 - 数据库连接初始化失败: No module named 'pymysql'
2025-10-02 10:43:46.161 | ERROR    | database.db_manager:_initialize:40 - 数据库连接初始化失败: No module named 'pymysql'
2025-10-02 10:57:48.680 | INFO     | database.db_manager:_initialize:38 - 数据库连接初始化成功
2025-10-02 10:57:48.682 | INFO     | executor.db_executor:__init__:16 - 数据库执行器初始化完成
2025-10-02 10:58:56.290 | INFO     | database.db_manager:_initialize:38 - 数据库连接初始化成功
2025-10-02 10:58:56.296 | INFO     | executor.db_executor:__init__:16 - 数据库执行器初始化完成
2025-10-02 11:00:27.504 | INFO     | database.db_manager:_initialize:38 - 数据库连接初始化成功
2025-10-02 11:00:27.516 | INFO     | executor.db_executor:__init__:16 - 数据库执行器初始化完成
2025-10-02 11:00:59.068 | INFO     | database.db_manager:_initialize:38 - 数据库连接初始化成功
2025-10-02 11:00:59.070 | INFO     | executor.db_executor:__init__:16 - 数据库执行器初始化完成
2025-10-02 11:01:37.559 | INFO     | database.db_manager:_initialize:38 - 数据库连接初始化成功
2025-10-02 11:01:37.564 | INFO     | executor.db_executor:__init__:16 - 数据库执行器初始化完成
2025-10-02 11:21:22.279 | INFO     | database.db_manager:_initialize:38 - 数据库连接初始化成功
2025-10-02 11:21:23.586 | INFO     | core.nlu.nlu_engine:__init__:50 - ✓ NLU引擎初始化成功: DeepSeek (deepseek-chat)
2025-10-02 11:21:34.208 | INFO     | core.nlu.nlu_engine:understand:80 - [test_001] 开始NLU理解: 有100块以内的套餐吗
2025-10-02 11:21:57.101 | DEBUG    | core.nlu.nlu_engine:understand:85 - [test_001] 预处理后: 有100元以内的套餐吗
2025-10-02 11:23:39.630 | INFO     | core.nlu.nlu_engine:understand:110 - [test_001] NLU完成: intent=package_query
2025-10-02 11:35:52.765 | INFO     | database.db_manager:_initialize:38 - 数据库连接初始化成功
2025-10-02 11:35:53.717 | INFO     | core.nlu.nlu_engine:__init__:50 - ✓ NLU引擎初始化成功: DeepSeek (deepseek-chat)
2025-10-02 11:35:56.402 | INFO     | core.nlu.nlu_engine:understand:80 - [test_001] 开始NLU理解: 有100块以内的套餐吗
2025-10-02 11:35:59.165 | DEBUG    | core.nlu.nlu_engine:understand:85 - [test_001] 预处理后: 有100元以内的套餐吗
2025-10-02 11:37:17.693 | INFO     | core.nlu.nlu_engine:understand:110 - [test_001] NLU完成: intent=package_query
